05-05-2025 18:59:05 | INFO     | __main__:38 | Using GPU: PhysicalDevice(name='/physical_device:GPU:0', device_type='GPU')
05-05-2025 18:59:05 | INFO     | __main__:43 | TensorFlow Version: 2.17.0
05-05-2025 18:59:05 | INFO     | __main__:44 | Is CUDA enabled: False
05-05-2025 18:59:05 | INFO     | __main__:45 | Is ROCm enabled: True
05-05-2025 18:59:07 | INFO     | __main__:78 | Starting WebSocket server...
05-05-2025 19:02:46 | INFO     | __main__:38 | Using GPU: PhysicalDevice(name='/physical_device:GPU:0', device_type='GPU')
05-05-2025 19:02:46 | INFO     | __main__:43 | TensorFlow Version: 2.17.0
05-05-2025 19:02:46 | INFO     | __main__:44 | Is CUDA enabled: False
05-05-2025 19:02:46 | INFO     | __main__:45 | Is ROCm enabled: True
05-05-2025 19:02:47 | INFO     | __main__:78 | Starting WebSocket server...
05-05-2025 19:02:47 | INFO     | websockets.server:341 | server listening on 192.168.1.5:8765
05-05-2025 19:03:14 | INFO     | websockets.server:529 | connection open
05-05-2025 19:03:14 | INFO     | handlers.connection:91 | New connection
05-05-2025 19:03:15 | INFO     | handlers.connection:101 | Handshake successful
05-05-2025 19:03:27 | INFO     | websockets.server:529 | connection open
05-05-2025 19:03:27 | INFO     | handlers.connection:91 | New connection
05-05-2025 19:03:28 | INFO     | handlers.connection:101 | Handshake successful
05-05-2025 19:03:28 | ERROR    | handlers.auth_handler:321 | Failed to refresh token: object str can't be used in 'await' expression
05-05-2025 19:03:32 | INFO     | handlers.auth_handler:121 | User 'yoavon2' authenticated with ID 680d405ca183764e786f0ef9.
05-05-2025 19:03:32 | INFO     | handlers.contacts_handler:104 | Retrieved 3 contacts for user '680d405ca183764e786f0ef9'
05-05-2025 19:03:32 | INFO     | handlers.contacts_handler:104 | Retrieved 3 contacts for user '680d405ca183764e786f0ef9'
05-05-2025 19:03:32 | INFO     | handlers.call_handler:211 | Set model preference for 680d405ca183764e786f0ef9 to lip
05-05-2025 19:03:32 | INFO     | handlers.call_handler:211 | Set model preference for 680d405ca183764e786f0ef9 to vosk
05-05-2025 19:03:41 | INFO     | handlers.auth_handler:121 | User 'idodo' authenticated with ID 67d6bae7386c75bcc71b6890.
05-05-2025 19:03:42 | INFO     | handlers.contacts_handler:104 | Retrieved 4 contacts for user '67d6bae7386c75bcc71b6890'
05-05-2025 19:03:42 | INFO     | handlers.contacts_handler:104 | Retrieved 4 contacts for user '67d6bae7386c75bcc71b6890'
05-05-2025 19:03:42 | INFO     | handlers.call_handler:211 | Set model preference for 67d6bae7386c75bcc71b6890 to lip
05-05-2025 19:03:42 | INFO     | handlers.call_handler:211 | Set model preference for 67d6bae7386c75bcc71b6890 to lip
05-05-2025 19:03:45 | ERROR    | handlers.call_history_handler:53 | Error fetching call history for user 67d6bae7386c75bcc71b6890: object AsyncIOMotorCursor can't be used in 'await' expression
05-05-2025 19:04:38 | INFO     | websockets.server:440 | server closing
05-05-2025 19:04:38 | INFO     | websockets.server:473 | server closed
05-05-2025 19:04:43 | INFO     | __main__:38 | Using GPU: PhysicalDevice(name='/physical_device:GPU:0', device_type='GPU')
05-05-2025 19:04:43 | INFO     | __main__:43 | TensorFlow Version: 2.17.0
05-05-2025 19:04:43 | INFO     | __main__:44 | Is CUDA enabled: False
05-05-2025 19:04:43 | INFO     | __main__:45 | Is ROCm enabled: True
05-05-2025 19:04:45 | INFO     | __main__:78 | Starting WebSocket server...
05-05-2025 19:04:45 | INFO     | websockets.server:341 | server listening on 192.168.1.5:8765
05-05-2025 19:04:50 | INFO     | websockets.server:529 | connection open
05-05-2025 19:04:50 | INFO     | handlers.connection:91 | New connection
05-05-2025 19:04:50 | INFO     | websockets.server:529 | connection open
05-05-2025 19:04:50 | INFO     | handlers.connection:91 | New connection
05-05-2025 19:04:50 | INFO     | handlers.connection:101 | Handshake successful
05-05-2025 19:04:51 | INFO     | handlers.connection:101 | Handshake successful
05-05-2025 19:04:56 | ERROR    | handlers.call_history_handler:53 | Error fetching call history for user 67d6bae7386c75bcc71b6890: 'AsyncIOMotorCursor' object is not iterable
05-05-2025 19:05:21 | INFO     | handlers.connection:130 | Connection closed by client
